Novelty,Familiar,Very Familiar,City vs Office
0.4375,0.479166667,0.5625,0.541666667
0.416666667,0.333333333,0.625,0.479166667
0.515625,0.40625,0.5,0.53125
0.53125,0.5,0.578125,0.515625
0.6875,0.53125,0.46875,0.546875
0.40625,0.453125,0.59375,0.494791667
0.578125,0.453125,0.609375,0.583333333
0.59375,0.59375,0.578125,0.552083333
